post_id,total_retweets,time_span_hours,subgraph_nodes,subgraph_edges,original_user
1.7916095114357148e+18,178,48.15472222222222,179,178,1486069441259397120
1.7915654507588165e+18,128,24.663333333333334,129,128,1221462414744596480
1.7914536557044209e+18,95,34.96472222222222,96,95,1747663344469766145
1.79160187112935e+18,92,1.1283333333333334,93,92,96015533
1.7908305119230203e+18,72,24.738611111111112,73,72,878284831
1.7901371171059185e+18,70,0.5344444444444445,71,70,15212187
1.7913353197465108e+18,70,25.1625,71,70,1430497892314218496
1.790846740582597e+18,68,48.742777777777775,69,68,133938408
1.79124428512521e+18,55,24.665277777777778,56,56,739844197935644672
1.7914804911970145e+18,53,24.89361111111111,54,53,1486069441259397120
1.7910461156278316e+18,52,25.02611111111111,53,52,1430605174674964480
1.7908211336813527e+18,49,48.034166666666664,50,49,1138458175663988736
1.790161934077059e+18,47,0.5255555555555556,48,47,1131917492
1.7907880382907392e+18,45,24.706666666666667,46,45,1638262165269368832
1.7900370545517202e+18,43,95.26638888888888,44,43,1329171068196622336
1.7914907423654257e+18,42,48.875277777777775,43,42,450235955
1.7901562363289807e+18,41,0.47833333333333333,42,41,3315264553
1.7911806601552202e+18,40,24.645833333333332,41,40,1491227330781536512
1.7908556543679695e+18,40,0.7236111111111111,41,40,1686901686185722112
1.7908192064657695e+18,37,24.66722222222222,38,37,263547117
