post_id,actual_retweets,predicted_infections,abs_error,pct_error,rmse,correlation,beta_estimated,diffusion_type,network_size,network_edges
1.7916095114357148e+18,178,177.846,0.15399999999999636,0.08651685393258222,149.9059815874347,0.7533011471582177,0.46415888336127775,Network-driven (Organic),179,178
1.7915654507588165e+18,128,127.952,0.04800000000000182,0.03750000000000142,105.17400187150182,0.7718925045987163,0.46415888336127775,Network-driven (Organic),129,128
1.7914536557044209e+18,95,1.0,94.0,98.94736842105263,0.7071067811865476,0.0,0.0001,External-dominated (Algorithmic),96,95
1.79160187112935e+18,92,91.99,0.010000000000005116,0.010869565217396866,73.72392290385349,0.7718542294509968,0.46415888336127775,Network-driven (Organic),93,92
1.7908305119230203e+18,72,71.952,0.04800000000000182,0.06666666666666919,56.527960302844825,0.7457965842275964,0.46415888336127775,Network-driven (Organic),73,72
1.7901371171059185e+18,70,69.924,0.0759999999999934,0.10857142857141915,54.50524453664987,0.7688256466204332,0.46415888336127775,Network-driven (Organic),71,70
1.7913353197465108e+18,70,69.882,0.117999999999995,0.16857142857142143,54.62422764061139,0.7637251360566892,0.46415888336127775,Network-driven (Organic),71,70
1.790846740582597e+18,68,68.068,0.06799999999999784,0.09999999999999681,52.81148847867606,0.7710213013051096,0.46415888336127775,Network-driven (Organic),69,68
1.79124428512521e+18,55,54.978,0.021999999999998465,0.03999999999999721,41.48137873574336,0.7842512078031234,0.46415888336127775,Network-driven (Organic),56,56
1.7914804911970145e+18,53,52.912,0.08800000000000097,0.16603773584905843,39.60713925085177,0.7874065223422727,0.46415888336127775,Network-driven (Organic),54,53
